,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,1330.7045,1470.8535,11.086529,1168.0397,52.9118,,,,22.097,129.06253,0.0,723846340.0,129348359.0,585836700.0,
1966,1423.512,1602.8173,13.505407,1168.1667,53.6368,,,,22.485907,165.7999,0.0,742948540.0,131746910.0,603653100.0,
1967,1265.3439,1443.7516,14.714847,1171.2877,54.3512,,,,19.383488,163.69284,0.0,761006300.0,134196718.0,620353300.0,
1968,1255.9236,1449.0682,14.110127,1106.6548,55.0569,,,,22.870396,179.03456,0.0,780372000.0,136747486.0,637762500.0,
1969,1516.6101,1776.4086,19.754179,1181.0593,55.7382,,,,23.259302,240.04433,0.0,801431000.0,139527262.0,656497700.0,
1970,1929.6497,2290.621,28.92576,1292.507,56.607,,,,24.037117,332.04553,0.0,822534460.0,142386810.0,675928200.0,
1971,2224.8772,2714.149,37.694195,1382.5481,57.5653,0.0,0.0,0.0,29.075233,451.57767,0.0,843285440.0,145443877.0,695661100.0,29.075233
1972,2352.9236,2921.401,48.780727,1310.6804,58.4184,0.0,0.0,0.0,32.951046,519.6965,0.0,862840400.0,148131235.0,713898750.0,32.951046
1973,2383.743,3077.9966,60.2704,1396.8113,59.3891,0.0,0.0,0.0,36.82686,633.9831,0.0,881652100.0,151552570.0,730387460.0,36.82686
1974,2358.564,3163.5293,75.892334,1392.1698,60.1683,0.0,0.0,0.0,41.674942,729.073,0.0,899367700.0,155688522.0,744661500.0,41.674942
1975,2658.2107,3551.4854,89.19617,1428.976,60.917,0.0,0.0,0.0,43.610638,804.07825,0.0,915124700.0,159452730.0,756942300.0,43.610638
1976,2723.1646,3744.1455,101.79449,1350.1012,61.7956,0.0,0.0,0.0,44.194,919.1864,0.0,929375940.0,162497601.0,768187400.0,44.194
1977,2995.5388,4088.734,122.15339,1424.0562,62.5379,0.0,0.0,0.0,46.134117,971.0417,0.0,942581300.0,165293316.0,778161660.0,46.134117
1978,3289.1963,4504.213,138.38004,1618.633,63.2177,0.0,0.0,0.0,43.22615,1076.6368,0.0,955138940.0,171153535.0,785011460.0,43.22615
1979,3402.7053,4628.246,146.2414,1677.2329,63.8649,0.0,0.0,0.0,48.555946,1079.2994,0.0,968298940.0,180399661.0,788605300.0,48.555946
1980,3539.019,4655.374,143.82251,1678.2577,64.4198,0.0,0.0,0.0,58.221176,972.5329,0.0,982372500.0,189947471.0,791287550.0,58.221176
1981,3520.1948,4570.128,128.40216,1667.3282,64.9755,0.0,0.0,0.0,65.51318,921.53076,0.0,997259500.0,199949784.0,793935200.0,65.51318
1982,3724.8376,4756.829,120.23844,1762.4872,65.4627,0.0,0.0,0.0,74.41386,911.7529,0.0,1013483200.0,210823843.0,797806140.0,74.41386
1983,3989.0044,5042.164,123.06047,1871.7107,65.9045,0.0,0.0,0.0,86.41695,930.09924,0.0,1029226900.0,220472140.0,802837900.0,86.41695
1984,4338.266,5428.434,125.27778,2095.368,66.3004,0.0,0.0,0.0,86.8147,964.89026,0.0,1044172200.0,230206255.0,806618750.0,86.8147
1985,4736.2646,5877.182,130.31711,2336.5251,66.6434,0.0,0.0,0.0,92.38756,1010.60034,0.0,1060240000.0,240414890.0,810625100.0,92.38756
1986,4951.424,6164.527,138.6824,2366.6023,66.9697,0.0,0.0,0.0,94.548645,1074.4205,0.0,1077770500.0,251325056.0,815464960.0,94.548645
1987,5372.2417,6654.4683,139.99261,2443.5935,67.2876,0.0,0.0,0.0,100.02428,1142.2338,0.0,1096851800.0,262976051.0,821058940.0,100.02428
1988,5771.2236,7144.303,143.72173,2548.7253,67.5808,0.0,0.0,0.0,109.16802,1229.358,0.0,1115889800.0,275121076.0,826508900.0,109.16802
1989,6046.902,7486.3027,151.6738,2507.4414,67.8378,0.0,0.0,0.0,118.40898,1287.7268,0.0,1134414700.0,287504237.0,831145800.0,118.40898
1990,6134.5166,7563.2725,154.18336,2427.055,68.0052,0.064,0.002,0.002020202,126.74397,1274.5724,0.0,1153704200.0,300165618.0,835019400.0,126.811990202
1991,6433.4272,7968.69,156.11848,2519.9937,68.1688,0.064,0.002,0.009090909,124.68895,1379.1438,0.0,1170626200.0,314301034.0,836479000.0,124.764040909
1992,6731.4966,8386.55,159.14207,2722.6484,68.7345,0.113,0.003,0.13131313,130.68608,1495.9119,0.0,1183813400.0,328521540.0,836448450.0,130.93339313
1993,7170.3564,9003.102,168.96878,2943.4604,69.2164,0.117,0.004,0.21212122,151.84616,1663.7761,3.8059561,1195855600.0,342961393.0,835478600.0,152.17928121999998
1994,7641.667,9509.277,176.97124,3133.4246,69.5201,0.46,0.005,0.3838384,167.42897,1690.6384,34.68138,1207286700.0,357836540.0,833998460.0,168.2778084
1995,7736.85,9741.276,178.79547,3431.2358,70.008,3.014,0.007,0.61616164,190.58,1825.6307,29.892868,1218144400.0,373035157.0,831819840.0,194.21716164000003
1996,8095.389,10305.78,187.36234,3659.8289,70.2659,1.533,0.009,0.093939394,187.97,2023.0286,33.122467,1228298900.0,388593258.0,828956740.0,189.605939394
1997,7931.912,10351.442,197.98524,3757.72,70.672,2.722,0.011,0.1979798,195.98,2221.5454,33.051575,1237801500.0,404485562.0,825589440.0,198.9109798
1998,7871.717,10363.471,204.16347,3741.418,71.1721,2.48,0.014,0.35555556,198.89,2287.5908,32.088387,1246836100.0,420606126.0,821328900.0,201.73955555999999
1999,8099.032,10752.908,216.63077,3930.9387,71.4188,2.52,0.017,0.4737374,196.58,2437.2446,33.787544,1255433200.0,436766058.0,815968960.0,199.59073740000002
2000,8211.406,11085.259,246.95747,4199.84,71.8807,2.537,0.022,0.589899,222.41,2626.8958,37.56943,1264099100.0,452999147.0,809645800.0,225.558899
2001,8635.754,11595.461,276.4577,4540.0283,72.6061,2.554,0.031,0.7191919,277.43,2683.249,38.700085,1272739600.0,471767321.0,800082700.0,280.7341919
2002,9467.457,12657.19,294.1357,4940.1445,72.985,2.546,0.048,0.83737373,287.97,2895.598,54.943264,1280926100.0,491993700.0,788406300.0,291.40137373000005
2003,11283.059,14859.567,341.74728,5365.0444,73.3714,2.536,0.064,0.9969697,283.68,3234.7622,93.58445,1288873300.0,512473984.0,775926000.0,287.2769697
2004,13155.28,17332.893,399.8397,5952.99,73.7477,2.528,0.076,1.2777778,353.544,3777.772,107.6158,1296816800.0,533257098.0,762817900.0,357.4257778
2005,15405.105,19713.344,469.75107,6588.563,74.1111,5.322,0.084,1.9460607,397.017,3838.487,111.78814,1304887600.0,554367818.0,749352200.0,404.3690607
2006,16918.38,21612.988,577.8375,7144.8,74.5037,7.133,0.095,3.7118182,435.786,4116.769,114.0408,1313086600.0,575118254.0,735901760.0,446.7258182
2007,18423.912,23448.26,710.77893,7817.45,74.7619,9.863,0.114,5.479293,485.264,4313.5674,127.567314,1321513200.0,595670841.0,722214140.0,500.720293
2008,18715.92,23943.34,819.32904,8281.87,74.8719,14.866,0.152,13.1,636.96,4408.092,138.64859,1330167200.0,616481190.0,708173800.0,665.078
2009,19605.02,25087.559,902.24023,8938.087,75.3434,20.85932,0.279,27.614998,615.644,4580.2983,140.1857,1339125600.0,637407288.0,693852740.0,664.397318
2010,20340.541,26643.771,1088.7405,10116.533,75.5991,24.90023,0.701,49.39962,711.3831,5214.49,147.65753,1348191400.0,658498663.0,679206340.0,786.38395
2011,22143.604,28885.965,1351.6287,10874.707,75.9032,27.632,2.61,74.1,688.045,5390.7334,170.09511,1357095400.0,679390629.0,665644350.0,792.387
2012,22422.357,29585.432,1508.7758,11501.821,76.1923,30.133,3.5945098,103.049904,862.7941,5654.2993,189.30035,1366560800.0,700996454.0,653193540.0,999.5715138
2013,22902.13,30528.387,1718.7853,11899.735,76.4523,37.133,8.373886,138.26413,909.61224,5907.4697,211.90894,1376100400.0,722694421.0,640545600.0,1093.383256
2014,22804.703,30830.85,1883.6313,12411.439,76.7173,46.26822,23.51216,159.7627,1059.6917,6142.5166,250.0146,1385189600.0,744357517.0,627502460.0,1289.23478
2015,22329.041,30885.832,1946.8953,12784.436,76.9771,54.07029,39.48057,185.59145,1114.5154,6609.8955,317.76184,1393715500.0,765822300.0,614037700.0,1393.65771
2016,21675.78,30593.768,2094.411,13147.852,77.2177,62.134766,66.52795,240.8605,1153.2675,6823.578,390.63608,1401889700.0,787376534.0,600413440.0,1522.7907159999997
