,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,481.13544,1168.4838,50.046993,13855.951,71.1034,0,,,46.881092,637.3014,52.840233,48168800,33054437,16228319,46.881092
1966,445.8141,1181.7335,52.7965,14475.218,71.5098,0.39,,,52.20847,683.123,81.30818,48683090,33987676,15829365,52.59847
1967,440.04257,1285.1718,60.339252,15079.873,71.4927,0.605,,,45.37766,784.79,119.77456,49181404,34910161,15423851,45.98266
1968,423.16086,1345.749,72.156494,15609.67,71.4792,0.926,,,50.42261,850.43164,176.31853,49647270,35692859,15124161,51.34861
1969,423.60306,1490.1211,83.850494,16579.016,71.2021,1.067,,,52.94209,982.66754,203.94598,50087056,36223125,15049558,54.00909
1970,403.1711,1615.0312,95.52925,17435.078,72.0902,1.3702458,,,56.681484,1116.3308,320.74222,50523588,36752571,14971545,58.0517298
1971,369.43515,1699.4092,113.2255,18326.459,72.0746,1.3918225,,,48.856724,1216.7485,519.34106,50970696,37291038,14894184,50.2485465
1972,328.61258,1813.4574,133.88774,19144.795,72.3163,1.5151953,,,48.831467,1350.9572,805.3275,51410364,37825586,14812302,50.3466623
1973,325.04178,1988.1039,157.0365,20371.342,72.4799,1.5500864,,,47.696262,1506.0256,807.8149,51814076,38334453,14719207,49.2463484
1974,329.0066,1923.9535,163.95924,21193.426,72.8103,1.5770591,,,56.230286,1430.9877,800.1726,52163550,38806179,14609071,57.8073451
1975,288.44208,1779.1871,182.87,20989.45,72.9072,1.4158849,,,60.107937,1307.875,987.20575,52450030,39172735,14542998,61.5238219
1976,339.1309,1950.3679,196.45325,21905.22,73.1262,1.3329,,,48.56463,1414.7838,849.769,52685270,39393968,14572590,49.89753
1977,326.62524,1890.5288,205.08524,22719.139,73.7307,1.3745815,,,76.322975,1358.8184,961.87866,52925440,39618922,14603066,77.6975565
1978,340.78445,1975.6165,218.7795,23682.8,73.8459,1.4183881,,,68.35983,1416.0525,1624.9647,53175308,39851203,14634992,69.7782181
1979,370.0985,2021.1165,242.37599,24584.348,74.1255,1.4840102,,,66.419136,1408.642,2122.2102,53428780,40085640,14667935,67.9031462
1980,362.36105,1923.0944,251.71974,24980.373,74.2332,1.4710236,,,69.52675,1309.0135,3235.6768,53713836,40343633,14708949,70.9977736
1981,330.292,1767.7461,255.71698,24369.193,74.3957,1.4921525,,,72.19517,1181.7372,5532.8047,54016748,40615768,14755276,73.6873225
1982,337.7352,1677.9037,245.77225,24201.264,74.7649,1.52734,,,70.57486,1094.3962,5689.6406,54319652,40893397,14800709,72.1022
1983,305.63638,1635.6102,261.8025,23726.705,74.7329,1.5587,,,69.443016,1068.1714,7498.1655,54592384,41154602,14838054,71.001716
1984,292.2619,1589.1597,266.992,23348.615,75.2151,1.6223,,,65.69011,1029.9058,9893.693,54845984,41404847,14870854,67.31241
1985,283.65567,1582.2897,285.79147,22841.9,75.305,1.65215,,,61.916004,1012.84247,11538.903,55108104,41663212,14905983,63.568154
1986,234.46078,1555.1406,287.41525,23972.672,75.5733,1.6628,,,62.483,1033.2645,13024.15,55371640,41923864,14941329,64.1458
1987,213.4105,1544.5032,290.81598,24539.062,76.1426,1.7506,,,70.498,1040.2767,13540.549,55641536,42190286,14978123,72.2486
1988,208.40959,1531.791,289.36124,25643.527,76.3942,1.77325,,,76.522,1034.0203,13982.728,55911476,42457921,15014730,78.29525
1989,226.9013,1571.7229,283.14777,26444.75,76.5408,1.84145,,,46.636997,1061.6738,15353.5625,56169944,42718166,15048116,48.478447
1990,220.8537,1601.255,302.7535,27149.924,76.8335,1.913,0,0.000271526,53.866,1077.6477,15797.975,56412896,42985584,15059117,55.77927153
1991,235.0423,1707.9404,331.66623,27119.656,77.0143,2.102,0,0.000489604,57.602,1141.2318,16597.732,56645216,43466704,15090873,59.7044896
1992,207.2466,1677.7042,330.99,27494.258,77.2958,2.134,0.001488,0.000489604,68.956,1139.4677,16888.398,56864050,43784946,15064997,71.0919776
1993,169.3328,1606.0608,338.51474,27321.758,77.348,1.974,0.001683,0.00240218,64.895,1098.2133,18311.492,57053730,44076650,15029516,66.87308518
1994,166.5416,1551.727,323.15024,27763.336,77.7678,2.157,0.0018785,0.004704,78.794,1062.0352,17848.162,57230064,44343217,14984368,80.9575825
1995,170.4958,1585.171,343.97824,28275.717,77.8713,2.329,0.00204,0.0047142,73.119,1070.6969,18641.447,57420356,44605346,14938313,75.4547542
