,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,1869.4764,2921.0217,30.975672,13321.435,70.6235,,,,16.21221,1020.56976,4.366126,76037464.0,54659677.0,21304018.0,
1966,1745.3394,2924.4014,37.22992,13593.178,70.7416,,,,17.533998,1141.8322,9.814069,76618720.0,55166778.0,21433532.0,
1967,1681.3043,2916.7148,47.988647,13405.284,70.9571,,,,16.652311,1187.4216,45.040764,77173550.0,55468832.0,21482504.0,
1968,1705.4391,3115.4314,78.86974,14106.714,70.6045,,,,16.89899,1331.1227,64.53704,77646130.0,55765529.0,21528784.0,
1969,1755.9604,3365.2188,112.316376,15100.145,70.456,,,,13.713478,1496.9418,179.5714,78012490.0,56259360.0,21650322.0,
1970,1733.998,3537.806,159.73753,15778.724,70.6798,0.92002016,,,17.533678,1644.0702,235.3524,78294590.0,56496072.0,21673216.0,
1971,1659.38,3582.9363,211.02472,16231.725,70.9158,1.0010282,,,13.455188,1712.5317,224.65517,78511410.0,56645245.0,21667596.0,
1972,1619.8612,3700.902,273.22437,16986.176,71.1537,1.0187488,,,13.205894,1807.8164,343.56042,78643560.0,56961784.0,21726668.0,
1973,1625.1296,3904.6082,352.33054,17924.977,71.3674,1.0531049,,,15.229462,1927.148,436.66022,78667470.0,57186457.0,21750208.0,
1974,1632.1193,3821.4084,440.76492,18223.402,71.6839,1.07625,,,17.638132,1748.5242,521.8436,78620536.0,57253758.0,21713676.0,
1975,1478.5684,3642.042,465.14346,18229.615,71.5205,1.1247102,,,17.059124,1698.3301,872.3586,78513510.0,57085531.0,21588024.0,
1976,1560.839,3888.0806,492.28854,19238.13,71.9816,1.2776853,,,13.846833,1834.9529,1069.3699,78364216.0,56885943.0,21451008.0,
1977,1499.0023,3834.1592,522.7913,19982.127,72.592,1.2465839,,,17.58216,1812.3656,1496.5452,78221280.0,56801863.0,21357952.0,
1978,1518.4825,3969.184,560.4233,20701.89,72.5723,1.317466,,,18.362234,1890.2781,1594.5665,78071550.0,56796181.0,21295640.0,
1979,1606.7775,4176.2085,619.478,21694.715,72.9206,1.4433178,,,18.383686,1949.9529,1896.0533,77915730.0,56865826.0,21260524.0,
1980,1643.761,4018.834,610.7291,22038.219,73.0924,1.9662538,,,19.069143,1764.3438,2027.784,77786696.0,57028530.0,21260046.0,
1981,1671.3124,3856.6355,583.9387,21626.012,73.3368,1.8042376,,,19.914673,1601.3843,2393.6677,77684490.0,57229147.0,21178760.0,
1982,1631.4796,3687.1987,541.86145,21183.645,73.6334,1.798813,,,19.737993,1513.8575,2721.089,77610424.0,57267174.0,21066192.0,
1983,1690.967,3736.7585,563.34344,21225.652,73.9233,1.5402381,,,18.712017,1482.448,2855.6938,77566060.0,57114118.0,21014164.0,
