,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,100.32037,784.8056,73.746994,9266.725,70.2596,2.676,0.0,0.0,42.634,610.7382,193.56897,51452860.0,32227841.0,19884508.0,45.31
1966,104.34436,858.30023,80.52125,9722.436,70.9982,3.351,0.0,0.0,43.72,673.43463,211.27173,51882570.0,32737193.0,19781808.0,47.071
1967,114.34616,947.6643,87.95325,10357.8545,71.0336,3.475,0.0,0.0,42.34,745.36487,171.02864,52294440.0,33233152.0,19667348.0,45.815000000000005
1968,110.74086,1035.8887,103.293495,10963.985,70.8677,3.617,0.0,0.0,42.677,821.8543,138.80156,52661070.0,33703021.0,19532728.0,46.294
1969,113.671616,1132.3536,113.41175,11560.775,70.8629,3.812,0.0,0.0,41.166,905.27026,89.88777,53001508.0,34152929.0,19385020.0,44.977999999999994
1970,114.78809,1261.1993,122.352,13036.207,71.6286,4.228,0.0,0.0,40.373,1024.0592,169.00346,53324036.0,34592379.0,19229472.0,44.601
1971,110.892044,1338.6602,126.3975,13272.596,71.8821,4.209,0.0,0.0,39.079,1101.3706,178.01888,53636100.0,35012585.0,19060904.0,43.288
1972,103.192986,1404.3909,144.94624,13844.9375,72.1447,3.807,0.0,0.0,41.348,1156.2516,190.55002,53995428.0,35369083.0,19012262.0,45.155
1973,104.70489,1484.5575,162.83325,14945.152,72.105,3.845,0.0,0.0,37.523,1217.0194,163.94887,54379588.0,35720365.0,19031040.0,41.368
1974,114.02052,1481.2338,183.13525,15898.907,72.8036,4.245,0.0,0.0,37.795,1184.078,176.72704,54750684.0,36065654.0,19045214.0,42.04
1975,114.3229,1437.4283,211.03175,15623.417,72.7282,3.986,0.0,0.0,41.021,1112.0737,195.71202,55093990.0,36393136.0,19047864.0,45.007
1976,113.35761,1530.9893,255.52075,17110.408,73.0702,3.812,0.0,0.0,39.176,1162.1108,195.02858,55388904.0,36687131.0,19031128.0,42.988
1977,111.47355,1502.5157,260.9535,17926.492,73.4403,3.73,0.0,0.0,51.139,1130.0887,172.59738,55649670.0,36955192.0,19000220.0,54.869
1978,113.392494,1557.1619,257.09375,18917.652,73.7768,3.811,0.0,0.0,45.491,1186.6757,224.86018,55877016.0,37198851.0,18956292.0,49.302
1979,124.440994,1614.5195,264.13397,20585.076,74.1072,3.825,0.0,0.0,45.947,1225.9446,132.99266,56070680.0,37418639.0,18899110.0,49.772000000000006
