,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,566.5229,1598.5547,18.2615,8102.635,70.2305,0.0,0.0,0.0,76.07,1013.77026,0.71316653,99468750.0,66476104.0,31475896.0,76.07
1966,603.7728,1777.5712,18.73975,8851.914,71.0288,0.0,0.0,0.0,79.35,1155.0586,16.494074,100466904.0,67914591.0,30936408.0,79.35
1967,663.1947,2100.549,19.386,9667.974,71.3776,0.0,0.0,0.0,68.55,1417.9684,17.57938,101527860.0,69431886.0,30447114.0,68.55
1968,682.455,2349.549,21.095,10765.293,71.649,0.0,0.0,0.0,73.45,1645.999,28.811382,102819280.0,71026895.0,29984104.0,73.45
1969,728.98267,2701.243,23.325546,11935.014,71.9007,0.0,0.0,0.0,75.35,1948.9347,29.492123,104102070.0,72679753.0,29539248.0,75.35
1970,702.30524,3034.7344,35.721493,13023.325,71.9874,0.242704,0.0,0.0,75.4,2296.7078,123.3072,105416840.0,74322974.0,29080026.0,75.64270400000001
1971,637.666,3211.3074,38.301754,13613.445,72.8085,0.235611,0.0,0.0,84.2,2535.3396,212.83482,106789360.0,76805782.0,28891218.0,84.43561100000001
1972,623.12146,3370.1377,38.31681,14635.703,73.2413,0.248591,0.0,0.0,85.1,2708.6992,248.56349,108220400.0,78731730.0,28456270.0,85.348591
1973,658.8215,3823.2097,53.32014,15587.087,73.4061,0.253998,0.0,0.0,66.778,3111.068,251.12955,109679470.0,80682335.0,28024664.0,67.031998
1974,698.3457,3767.0168,72.87295,15280.525,73.8343,0.307547,0.0,0.0,82.68,2995.798,503.11603,111100024.0,82593959.0,27568040.0,82.987547
1975,653.26324,3567.6594,87.283585,15796.556,74.3419,0.378507,0.0,0.0,83.406,2827.1125,634.2097,112411640.0,84478613.0,27094388.0,83.784507
1976,638.7905,3683.7068,104.6348,16670.613,74.7463,0.367553,0.0,0.0,83.59,2940.2815,851.04315,113624870.0,85645846.0,27129154.0,83.957553
1977,602.65674,3749.6904,127.78507,17632.516,75.3111,0.533774,0.0,0.0,72.968,3019.2485,782.77875,114761520.0,86544997.0,27327004.0,73.501774
1978,545.7324,3848.2358,179.3443,18790.568,75.6424,0.827644,0.0,0.0,70.047,3123.1592,1453.2616,115809520.0,87402828.0,27510172.0,70.874644
1979,582.8143,3951.3894,212.7888,19873.62,76.1525,1.099732,0.0,0.0,80.743,3155.7864,1710.6179,116765510.0,88213150.0,27676850.0,81.842732
1980,677.0605,3765.8823,251.80937,20852.17,76.1261,1.09144,0.0,0.0,88.292,2837.0125,1992.3893,117624200.0,88977732.0,27829268.0,89.38344000000001
1981,759.06995,3693.186,252.3105,20679.117,76.5487,1.136527,0.0,0.0,87.594,2681.8057,2104.9036,118385730.0,89743575.0,27917424.0,88.730527
1982,723.9473,3480.9663,258.38336,20248.773,77.0593,9.870767,0.0,0.0,81.606,2498.6357,2440.396,119098140.0,90498578.0,27981422.0,91.476767
1983,713.58234,3490.373,278.06335,19793.24,77.0956,11.030233,0.0,0.0,84.273,2498.7275,2707.1729,119793750.0,91261504.0,28045496.0,95.30323299999999
1984,797.98047,3815.3425,373.98093,19753.05,77.4965,12.119023,0.0,0.0,71.617,2643.381,3162.3955,120470740.0,91987180.0,28095820.0,83.736023
1985,832.8265,3743.1372,400.5977,20254.344,77.7899,12.699479,0.0,0.0,82.874,2509.7131,3738.5122,121119020.0,92696479.0,28140520.0,95.57347899999999
1986,793.0756,3735.4526,407.6181,21946.01,78.2035,13.803359,0.0,0.0,80.816,2534.7588,3855.3765,121710300.0,93340695.0,28141304.0,94.619359
1987,809.3264,3774.4329,418.04544,23362.334,78.622,14.792468,0.0,0.0,74.787,2547.061,4376.9883,122268890.0,93946744.0,28122256.0,89.579468
1988,874.77185,4057.0103,443.39005,25594.398,78.5368,15.986553,0.0,0.0,90.291,2738.8484,4018.2568,122798300.0,94492929.0,28085072.0,106.277553
1989,876.16406,4182.9062,460.55957,27335.031,78.9708,17.04698,0.0,0.0,91.741,2846.1826,4277.178,123270650.0,95025267.0,28043732.0,108.78798
1990,907.6897,4374.0117,503.15887,29385.457,78.9838,11.340126,0.001,0.0,86.895,2963.1633,4463.702,123686320.0,95496650.0,27981350.0,98.236126
1991,900.4807,4428.32,532.0145,31110.086,79.2519,11.650857,0.001,0.0,94.416,2995.8247,4772.724,124073990.0,96038630.0,27925370.0,106.067857
1992,885.25464,4502.1787,553.1084,32143.326,79.2918,11.850117,0.0105,0.0,80.046,3063.816,4948.7075,124444696.0,96566243.0,27858756.0,91.906617
1993,902.8055,4460.201,556.9387,33009.44,79.4342,11.559372,0.0225,0.000959596,92.58,3000.4573,5632.75,124779576.0,97049554.0,27779446.0,104.16283159599999
1994,945.3257,4712.571,595.6147,33976.027,79.8238,13.472534,0.029,0.000959596,64.462,3171.6306,5856.6724,125119260.0,97489878.0,27688122.0,77.964493596
1995,979.8555,4876.4834,606.17584,35783.742,79.6702,14.295146,0.0395,0.000959596,78.793,3290.452,6489.866,125433970.0,97888236.0,27583764.0,93.12860559600001
1996,1005.58246,4966.3994,646.77234,37559.605,80.3493,15.247687,0.0545,0.001919192,77.173,3314.0444,6691.734,125726220.0,98272808.0,27484192.0,92.47710619200001
1997,1032.946,4982.256,671.34784,37646.12,80.5718,16.437628,0.096302845,0.000959596,86.44,3277.962,7230.8354,126027980.0,98667335.0,27389664.0,102.974890441
1998,984.71936,4837.6206,691.63885,37128.617,80.6402,16.172628,0.14324625,0.007070707,89.079,3161.2627,7322.994,126308390.0,99095072.0,27304928.0,105.401944957
1999,1035.9772,4976.206,726.41864,37066.08,80.6079,16.48681,0.218025,0.036363635,83.792,3213.8103,7112.7837,126555064.0,99434460.0,27196540.0,100.53319863499999
2000,1110.6033,5035.6113,756.65015,37915.273,81.1759,16.111082,0.34406173,0.109,84.468,3168.3574,7141.046,126803864.0,99760751.0,27082248.0,101.03214373
2001,1137.1547,4988.1167,777.2839,37468.684,81.509,16.02874,0.49973923,0.252,81.537,3073.6782,7111.479,127065736.0,101706485.0,25442516.0,98.31747923
2002,1207.9081,5021.0254,760.4603,37384.547,81.7953,16.93931,0.69462,0.413,80.6,3052.6567,6914.334,127301740.0,104055019.0,23389980.0,98.64693
2003,1241.2594,5200.9194,834.98224,37952.09,81.8558,17.876465,0.953955,0.832,92.472,3124.6775,5021.8213,127502350.0,106256267.0,21461732.0,112.13441999999999
2004,1274.1025,5122.8696,806.0405,38901.746,82.1309,18.053455,1.2716222,1.44,91.667,3042.7268,6191.538,127671290.0,108136910.0,19624090.0,112.4320772
2005,1334.8142,5157.8296,827.27966,39823.617,82.012,21.686,1.6300883,1.91,77.5615,2995.7354,6300.447,127798376.0,109856670.0,17916330.0,102.78758829999998
2006,1312.1417,5086.065,885.50336,40255.957,82.3765,21.528,1.99563,2.135,88.80701,2888.4197,6495.9556,127902170.0,111383848.0,16470152.0,114.46564000000001
2007,1377.4036,5130.279,953.9006,41021.09,82.5544,22.198,2.3124676,2.74,74.50974,2798.9749,5914.193,128006424.0,112827761.0,15173239.0,101.7602076
2008,1414.7809,5100.908,990.99493,40303.45,82.6382,21.293,2.5939713,2.945,75.164375,2695.132,5300.1704,128077630.0,114107975.0,13955025.0,101.9963463
2009,1186.9474,4527.235,924.7802,38058.36,82.9742,20.32575,3.0455124,3.4273024,70.46622,2415.507,5744.9746,128117040.0,115228215.0,12818785.0,97.2647848
2010,1352.7345,4790.777,999.3671,39789.7,82.9193,21.827084,3.9813788,3.925729,88.50272,2438.675,6078.336,128105430.0,116302928.0,11767072.0,118.2369118
2011,1282.6497,4841.036,1120.2524,39162.33,82.6756,21.105194,5.43915,4.459041,82.48676,2438.1338,3369.3408,128007256.0,116416235.0,11416765.0,113.490145
2012,1354.1991,5189.08,1232.1508,39235.848,83.1755,22.129982,7.371903,4.727417,77.09999,2602.7302,370.25204,127853690.0,116331281.0,11297719.0,111.329292
2013,1409.438,5133.329,1235.3688,39666.53,83.4107,23.1767,12.908781,5.133169,79.33157,2488.5225,299.11722,127678920.0,116262976.0,11182024.0,120.55022
2014,1385.7355,4996.624,1247.5212,39171.812,83.6525,23.62768,23.548166,5.013972,81.70858,2363.3672,0.0,127476730.0,116208079.0,11067921.0,133.898398
2015,1397.981,4853.5146,1187.1764,40274.207,83.8928,28.485174,34.540173,5.2228065,85.765114,2268.3572,91.879974,127250936.0,116182717.0,10958283.0,154.01326749999998
2016,1395.3855,4761.283,1164.1744,39467.09,84.0664,23.670853,43.32569,5.340769,79.42587,2201.7234,357.60394,126993860.0,116219897.0,10856103.0,151.763182
2017,1415.9634,4755.5874,1169.8649,39598.293,84.1976,27.389729,54.24169,5.8271704,79.29134,2169.7593,586.17725,126662460.0,116223820.0,10748180.0,166.74992939999998
2018,1386.5973,4643.376,1157.0815,39352.13,84.2971,30.131918,62.11436,6.4448814,81.10679,2099.697,987.4583,126255870.0,116179166.0,10631834.0,179.7979494
2019,1362.5938,4477.786,1081.2328,39704.234,84.4258,32.15621,67.746254,6.748665,73.64051,2033.9596,1319.8373,125791680.0,116119928.0,10513072.0,180.29163899999998
2020,1270.7518,4118.038,1041.275,,84.6879,34.80145,75.13509,7.819281,77.414116,1806.0111,865.2366,125244760.0,115884871.0,10376129.0,195.169937
2021,1369.4674,4240.5156,1036.1228,,84.7839,35.75764,92.404,8.249907,79.58446,1834.9255,1233.641,124612530.0,115459909.0,10221684.0,215.99600700000002
