,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,103.05555,413.96008,15.0,15301.046,73.6061,0.0,0.0,0.0,0.0,295.90454,0.0,12275797.0,7469419.0,4825313.0,0.0
1966,93.888885,443.3774,28.61111,15368.931,73.555,0.0,0.0,0.0,0.0,320.8774,0.0,12426790.0,7590341.0,4865910.0,0.0
1967,90.27777,468.80002,50.555553,16021.928,73.8329,0.0,0.0,0.0,0.0,327.9667,0.0,12576971.0,7699768.0,4898433.0,0.0
1968,85.55555,524.3136,85.0,16874.312,73.6376,0.0,0.0,0.0,0.0,353.7581,6.2425795,12727200.0,7803319.0,4926402.0,0.0
1969,72.77777,583.89294,125.27778,18204.072,73.5601,0.0,0.0,0.0,0.0,385.83737,69.38901,12881251.0,7917513.0,4960471.0,0.0
1970,53.333332,658.75354,176.38889,19090.383,73.6279,0.0,0.0,0.0,0.0,429.0313,80.091324,13037686.0,8039946.0,4998580.0,0.0
1971,40.277775,694.62256,230.55554,19911.338,73.8716,0.0,0.0,0.0,0.0,423.7892,87.14782,13186716.0,8169109.0,5025388.0,0.0
1972,34.444443,807.21313,300.0,20482.219,73.7834,0.0,0.0,0.0,0.0,472.7687,69.4249,13324182.0,8294650.0,5033943.0,0.0
1973,35.0,856.5377,333.61108,21831.9,74.2299,0.0,0.0,0.0,0.0,487.92667,233.79431,13447575.0,8406296.0,5033026.0,0.0
1974,33.333332,806.6588,355.0,22989.105,74.607,0.0,0.0,0.0,0.0,418.32544,685.7059,13560532.0,8515370.0,5029686.0,0.0
1975,28.055555,810.819,370.27774,23108.594,74.5543,0.803,0.0,0.0,0.0,412.4857,692.5596,13663970.0,8634800.0,5031535.0,0.803
1976,35.0,883.65283,384.44443,24106.871,74.6707,0.872,0.0,0.0,0.0,464.2084,798.45685,13760114.0,8746238.0,5027799.0,0.872
1977,36.666664,868.0194,385.83334,24367.543,75.2642,0.867,0.0,0.0,0.0,445.5194,759.7802,13855560.0,8841770.0,5014415.0,0.867
1978,41.944443,883.79456,386.66666,24841.38,75.1731,1.211,0.0,0.0,0.0,455.18344,825.8633,13949415.0,8939836.0,5001864.0,1.211
1979,39.999996,915.4418,385.0,25255.45,75.6458,1.106,0.0,0.0,0.0,490.4418,705.1202,14040286.0,9045559.0,4992711.0,1.106
1980,46.388885,857.0088,351.94443,26173.992,75.7712,1.024,0.0,0.0,0.0,458.67545,843.39984,14130383.0,9161288.0,4988512.0,1.024
1981,51.38889,813.2568,334.99997,25294.805,75.9898,1.085,0.0,0.0,0.0,426.86792,730.06915,14217323.0,9275502.0,4971706.0,1.085
1982,59.444443,752.5121,319.99997,24475.873,76.0603,0.265,0.0,0.0,0.0,373.0677,773.45996,14296533.0,9376386.0,4936304.0,0.265
