,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,112.811005,,,9079.128,70.9025,0.0,0.0,0.0,19.687,166.38136,0.0,32112016.0,19580951.0,12373341.0,19.687
1966,104.367615,,,9655.602,71.1621,0.0,0.0,0.0,27.258,196.83342,0.0,32462272.0,20096611.0,12186583.0,27.258
1967,106.06559,,,10012.231,71.3507,0.0,0.0,0.0,22.657,238.4801,0.0,32814224.0,20660198.0,12022749.0,22.657
1968,107.36816,,,10581.901,71.6762,0.0,0.0,0.0,24.388,253.3006,7.1028585,33157582.0,21248036.0,11865098.0,24.388
1969,108.042694,397.36322,0.9393,11453.877,71.1402,0.0,0.0,0.0,30.603,288.38123,70.25879,33480508.0,21772801.0,11668253.0,30.603
1970,114.13682,443.86996,0.7474,11811.078,72.1514,0.047,0.0,0.0,27.772,328.98575,77.50289,33792624.0,22330440.0,11484091.0,27.819
1971,114.70669,480.79605,3.9794,12235.781,71.7373,0.052,0.0,0.0,31.816,362.10995,209.73601,34133624.0,22878387.0,11346103.0,31.868
1972,117.474625,511.00525,11.716,13088.277,72.9557,0.061,0.0,0.0,35.469,381.81464,390.58276,34515176.0,23372204.0,11232265.0,35.53
1973,115.05559,584.99506,11.312,13910.429,72.7348,0.056,0.0,0.0,28.912,458.62744,532.1638,34898150.0,23870859.0,11118088.0,28.968
1974,111.43865,606.32,14.139999,14417.375,73.0951,0.051,0.0,0.0,30.568,480.74136,580.11395,35329900.0,24372582.0,11000753.0,30.619
1975,123.49897,637.98816,14.584399,14332.13,73.4945,0.113,0.0,0.0,26.065,499.90475,598.6005,35760430.0,24876771.0,10881129.0,26.178
1976,119.61455,703.3886,16.7458,14832.615,73.8093,0.187,0.0,0.0,20.932,567.02826,593.19244,36139070.0,25379947.0,10757865.0,21.119
1977,128.1277,679.582,16.0994,15304.634,74.3091,0.309,0.0,0.0,39.628,535.35486,506.9949,36513080.0,25880544.0,10631094.0,39.937
1978,110.11284,677.89453,16.4933,15600.997,74.4985,0.316,0.0,0.0,40.251,551.2884,588.7398,36865440.0,26368356.0,10496542.0,40.567
1979,125.49932,725.7438,15.937799,15649.341,74.9918,0.251,0.0,0.0,46.397,584.30664,511.20947,37188964.0,26838008.0,10353322.0,46.647999999999996
1980,144.66557,783.7663,20.4323,16096.194,75.5281,0.362,0.0,0.0,29.55,618.6684,392.49664,37491664.0,27289444.0,10201721.0,29.912
1981,178.46234,800.8323,23.331,15191.307,75.708,0.424,0.0,0.0,21.942,599.03894,719.02313,37758650.0,27669147.0,10089484.0,22.366
1982,197.76814,789.497,25.441898,14606.472,76.3207,0.487,0.0,0.0,26.331,566.287,655.2511,37982144.0,27925417.0,10060595.0,26.817999999999998
1983,208.01418,802.95746,27.5124,14228.868,76.0985,0.56,0.0,0.0,27.047,567.4309,792.5316,38169764.0,28151118.0,10020407.0,27.607
1984,211.4799,769.2243,22.5634,13930.655,76.4841,0.55,0.0,0.0,31.484,535.18097,1709.0266,38329930.0,28357570.0,9972794.0,32.034
1985,209.08414,748.2418,23.936998,13693.116,76.4119,0.611,0.0,0.0,31.287,515.2207,2068.3984,38471924.0,28549379.0,9920133.0,31.898
1986,216.6669,755.3446,28.1992,14528.374,76.7041,0.538,0.0,0.0,26.494,510.47852,2754.2214,38590810.0,28723937.0,9860687.0,27.032
1987,210.2006,776.4862,30.1889,15539.123,76.9573,0.563,0.0,0.0,27.383,536.0967,3026.4502,38694532.0,28887112.0,9797703.0,27.945999999999998
1988,182.38165,770.21686,38.9557,16606.143,76.9501,0.673,0.0,0.0,35.246,548.8795,3692.4097,38781724.0,29036437.0,9730502.0,35.919000000000004
1989,224.83115,850.01526,50.0051,17655.328,76.9991,0.578,0.006060606,0.013,19.349,575.17896,4099.597,38847320.0,29169746.0,9658018.0,19.946060606
1990,223.43556,837.82996,57.79439,18580.336,77.0017,0.542,0.006,0.014,25.414,556.60004,3959.5452,38889890.0,29286916.0,9580406.0,25.976000000000003
1991,232.58836,866.3473,65.11023,19394.06,77.1299,0.542,0.007,0.015,27.282,568.6487,4043.9814,38997064.0,29430524.0,9535852.0,27.846
1992,237.29852,942.7359,68.079414,19818.441,77.5904,0.575,0.008,0.103,18.92,637.358,4037.581,39202250.0,29607126.0,9550559.0,19.606
1993,213.45702,888.1298,66.77966,20017.914,77.7302,0.579,0.009,0.116,24.377,607.8931,4035.2336,39420540.0,29793326.0,9567936.0,25.081
1994,220.06287,931.8254,73.21793,20803.611,78.1166,0.639,0.01,0.175,28.18,638.54456,3961.0469,39623732.0,29967941.0,9581167.0,29.003999999999998
1995,220.58621,989.64343,89.793236,21821.613,78.2029,1.011,0.015,0.27,23.112,679.26404,3952.1812,39814570.0,30133075.0,9590975.0,24.407999999999998
1996,186.394,984.46796,100.489685,22539.303,78.3417,1.083,0.012,0.364,39.802,697.5843,3996.2825,39996476.0,30291556.0,9598296.0,41.260999999999996
1997,213.46864,1069.7953,131.48898,24225.041,78.8534,1.463,0.013,0.742,34.778,724.83765,3905.1443,40180050.0,30451227.0,9606162.0,36.996
1998,203.42033,1124.0068,134.98705,25756.809,78.9428,1.531,0.015,1.352,34.005,785.5994,4147.268,40362356.0,30610090.0,9613419.0,36.903
1999,227.98288,1195.437,154.5253,26719.432,78.9478,1.724,0.017,2.744,22.863,812.9289,4118.999,40542230.0,30767125.0,9619750.0,27.348
2000,243.48569,1244.0662,176.96399,28207.709,79.4172,1.493,0.018,4.727,29.57,823.6165,4332.432,40741652.0,30937864.0,9630000.0,35.808
2001,222.92383,1271.7705,190.69435,28700.03,79.7444,1.631,0.024,6.759,41.027,858.1524,4384.04,40966450.0,31186430.0,9663982.0,49.441
2002,251.18472,1334.4612,218.03433,29265.547,79.8238,2.586,0.03,9.342,22.92,865.2422,4255.343,41477652.0,31708814.0,9722744.0,34.878
2003,234.10027,1368.1029,248.28728,29217.018,79.7548,3.184,0.041,12.075,41.054,885.7154,4077.5225,42230268.0,32390830.0,9796815.0,56.354
2004,244.79987,1444.0978,292.69077,29781.826,80.3362,3.33,0.056,15.7,31.676,906.6071,4094.181,42959670.0,33059302.0,9862593.0,50.76199999999999
2005,238.56618,1500.0077,347.01956,32439.225,80.3283,2.653,0.041,21.176,17.872,914.42194,3619.085,43685372.0,33727737.0,9925418.0,41.742
2006,208.27003,1491.931,363.17368,34817.586,80.9725,2.774,0.119,23.297,25.89,920.4873,3695.6309,44422824.0,34408810.0,9988509.0,52.08
2007,233.0303,1529.8999,369.5727,36548.96,80.9803,2.898,0.508,27.568,27.233,927.29694,3304.507,45245784.0,35159317.0,10067486.0,58.207
