,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,14.833333,,,27104.668,72.318,0.0,0.0,0.0,24.097282,96.37956,0.0,5857048.0,4241081.0,1615391.0,24.097282
1966,12.263888,,,27506.021,72.4497,0.0,0.0,0.0,27.518608,102.46806,0.0,5918589.0,4302743.0,1615259.0,27.518608
1967,10.344443,,,28115.781,72.7412,0.0,0.0,0.0,29.850212,110.83246,0.0,5992343.0,4373584.0,1618201.0,29.850212
1968,9.777778,132.71043,0.0,28823.64,72.7054,0.0,0.0,0.0,29.515339,122.932655,0.0,6068208.0,4446360.0,1621354.0,29.515339
1969,8.844444,142.52975,0.0025,30071.387,72.7174,0.0,0.0,0.0,28.24513,133.68282,247.37148,6136805.0,4513988.0,1622399.0,28.24513
1970,7.5888886,157.79147,0.385,31793.943,73.1238,0.0,0.0,0.0,29.172628,149.8176,810.68823,6181231.0,4564145.0,1616732.0,29.172628
1971,5.1249995,165.03455,0.93,32815.645,73.2408,0.0,0.0,0.0,29.043726,158.97955,635.206,6213706.0,4597418.0,1615981.0,29.043726
1972,4.336111,168.50558,1.1800001,33615.14,73.7594,0.0,0.0,0.0,24.234034,162.98949,1740.2617,6261160.0,4635987.0,1624969.0,24.234034
1973,4.116667,181.12997,1.5974998,34381.945,74.0602,0.0,0.0,0.0,26.586607,175.4158,2838.7004,6307365.0,4673744.0,1633603.0,26.586607
1974,3.55,163.0219,3.3649998,34696.125,74.4016,0.0,0.0,0.0,27.850393,156.10689,3162.2805,6341220.0,4702405.0,1639000.0,27.850393
1975,2.661111,158.19688,5.4199996,31364.006,74.7916,0.0,0.0,0.0,32.23579,150.11577,3474.4412,6338272.0,4703772.0,1634860.0,32.23579
1976,2.4999998,164.17368,5.6575,31012.902,74.906,0.0,0.0,0.0,25.849403,156.01617,3574.5396,6302079.0,4680366.0,1622138.0,25.849403
1977,2.9166665,166.2014,6.46,31729.45,75.3674,0.0,0.0,0.0,34.88988,156.82472,3665.6863,6280842.0,4667917.0,1613257.0,34.88988
1978,2.6249998,170.53166,7.0874996,32379.328,75.3078,0.098,0.0,0.0,31.560526,160.81917,3792.221,6281527.0,4671729.0,1610009.0,31.658526
1979,2.713889,164.80028,7.9500003,33603.816,75.6075,0.287,0.0,0.0,29.68438,154.1364,5321.875,6294185.0,4684518.0,1609847.0,29.97138
1980,3.972222,167.06213,9.070001,35278.707,75.5895,0.173,0.0,0.0,33.447933,154.0199,6441.88,6319116.0,4706505.0,1612903.0,33.620933
1981,5.875,158.18437,9.785,35218.69,75.8183,0.436,0.0,0.0,35.12508,142.52437,6846.262,6353701.0,4731625.0,1622449.0,35.56108
1982,5.197222,150.18985,10.335,34882.918,76.1622,0.39,0.0,0.0,35.971413,134.65762,6718.8906,6390953.0,4755517.0,1635792.0,36.361413
1983,4.536111,163.2332,11.362499,35015.527,76.1572,0.396,0.0,0.0,35.06285,147.33458,6945.2275,6418416.0,4772101.0,1646672.0,35.45885
1984,5.827778,161.12859,12.6725,35236.305,76.756,0.369,0.0,0.0,29.893864,142.62831,8122.9785,6441452.0,4785404.0,1656461.0,30.262864
1985,5.8527775,164.2705,13.2675,35892.363,76.8818,0.365,0.0,0.0,32.05207,145.1502,9824.573,6469830.0,4802758.0,1667607.0,32.41707
1986,5.0361114,177.47177,13.5875,37812.402,77.0403,0.458,0.0,0.0,32.90528,158.84816,9783.775,6503525.0,4823914.0,1680210.0,33.363279999999996
1987,4.686111,168.87941,14.5675,38351.875,77.3316,0.511,0.0,0.0,34.674698,149.6258,9904.232,6544455.0,4850382.0,1694724.0,35.185698
1988,3.9999998,168.73096,14.669999,38879.234,77.3644,0.513,0.0,0.0,35.79507,150.06096,9741.645,6592667.0,4882139.0,1711247.0,36.30807
1989,4.1361113,164.08418,15.955,40385.945,77.5571,0.529,0.0,0.0,29.77493,143.99307,9681.591,6646209.0,4917784.0,1729128.0,30.30393
1990,4.1361113,175.51135,17.0775,42263.76,77.3849,0.438,0.001,0.0,29.797848,154.29774,9923.135,6711685.0,4964515.0,1751004.0,30.236848
1991,3.5138888,179.63635,19.17,41264.395,77.648,0.436,0.002,0.0,32.080162,156.95247,9517.834,6795392.0,5023076.0,1776902.0,32.518162000000004
1992,2.4333332,181.72139,20.15,41095.39,77.9437,0.485,0.003,0.0,32.703655,159.13806,9613.047,6873188.0,5075050.0,1800314.0,33.191655
1993,2.038889,172.2927,21.14,41259.668,78.2332,0.491,0.004,0.0,35.781193,149.1138,9486.206,6936123.0,5117803.0,1820462.0,36.276193
1994,2.0638888,177.018,20.8525,42003.164,78.4942,0.55,0.005,0.0,39.072556,154.10161,9818.997,6991543.0,5154986.0,1838809.0,39.627556
1995,2.2138886,167.99397,22.98,42405.1,78.5648,0.574,0.006,0.0,35.171566,142.8001,9966.8,7038302.0,5185748.0,1854939.0,35.751566
1996,1.6555556,174.45456,24.875,42729.137,79.0489,0.614,0.007,0.001,28.74798,147.92401,10020.982,7069694.0,5204882.0,1866968.0,29.369979999999998
1997,1.275,180.91618,24.015,44320.637,79.2324,0.658,0.007,0.002,34.046455,155.62619,10102.729,7086993.0,5213607.0,1875299.0,34.713455
1998,1.0583333,183.32346,24.72,45515.742,79.4749,0.689,0.008,0.003,33.475414,157.54512,10239.371,7108225.0,5225282.0,1884719.0,34.175414
1999,1.0999999,182.43265,28.458332,46944.188,79.7231,0.749,0.01,0.003,40.008263,152.87431,9837.285,7142199.0,5246404.0,1897587.0,40.770263
2000,1.6027778,178.18906,28.3,47393.05,79.8335,0.833,0.011,0.003,36.837334,148.28627,10375.742,7182052.0,5272018.0,1912232.0,37.684334
2001,1.675,189.82634,29.455555,47028.965,80.2507,0.876,0.013,0.004,41.32288,158.69579,10389.222,7224413.0,5304905.0,1924949.0,42.21588
2002,1.5444444,180.8754,28.91111,46924.52,80.4431,0.909,0.015,0.005,35.171818,150.41983,10410.004,7276479.0,5347082.0,1937671.0,36.100818000000004
2003,1.5861111,178.53206,30.558332,47516.754,80.532,0.93,0.018,0.005,34.76713,146.38762,10362.235,7330729.0,5388808.0,1950193.0,35.720130000000005
