,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,1365.3271,2259.641,8.59457,15018.666,71.5244,0.0,0.0,0.0,4.612,885.7195,791.92566,54229570.0,42294196.0,12053854.0,4.612
1966,1299.4199,2256.721,8.38523,15258.811,71.4391,0.0,0.0,0.0,4.536,948.9158,1051.4207,54560504.0,42452048.0,12196452.0,4.536
1967,1213.8346,2247.7202,14.10719,15526.915,72.0751,0.0,0.0,0.0,4.885,1019.7785,1203.5936,54876360.0,42603817.0,12339783.0,4.885
1968,1214.7535,2326.104,31.85457,16086.742,71.6872,0.0,0.0,0.0,3.722,1079.4958,1347.0277,55169252.0,42733856.0,12477844.0,3.722
1969,1184.0502,2406.4595,62.06931,16329.385,71.6646,0.0,0.0,0.0,3.256,1160.3401,1491.1917,55420524.0,42833742.0,12608008.0,3.256
1970,1116.759,2463.8206,118.27709,16703.924,71.8843,0.0,0.0,0.0,4.536,1228.7844,1326.3114,55650160.0,42925829.0,12737421.0,4.536
1971,989.713,2415.7078,190.70872,16915.135,72.236,0.0,0.0,0.0,3.373,1235.2861,1398.9546,55875904.0,43056861.0,12839362.0,3.373
1972,866.92346,2447.364,270.6301,17417.062,71.9897,0.0,0.0,0.0,3.373,1309.8104,1487.0583,56057324.0,43295638.0,12790427.0,3.373
1973,938.9829,2576.2925,292.8085,18581.95,72.1866,0.0,0.0,0.0,3.838,1344.5009,1414.3967,56166630.0,43470962.0,12723565.0,3.838
1974,826.6604,2425.7527,350.22583,17964.908,72.3781,0.0,0.0,0.0,4.071,1248.8663,1696.2891,56233776.0,43590038.0,12639936.0,4.071
1975,831.60315,2290.8157,366.973,17617.3,72.6523,0.0,0.0,0.0,3.838,1092.2395,1529.9332,56266852.0,43677888.0,12547912.0,3.838
1976,846.26855,2321.355,389.24445,18492.521,72.6366,0.0,0.0,0.0,4.536,1085.842,1823.3997,56263230.0,43757644.0,12454324.0,4.536
1977,849.04816,2357.6963,413.714,19375.945,73.1137,0.0,0.0,0.0,3.954,1094.9343,2019.0327,56244844.0,43833733.0,12359759.0,3.954
1978,827.1372,2379.5312,429.13535,20694.65,73.0446,0.0,0.0,0.0,4.071,1123.2587,1878.062,56240770.0,43925435.0,12271069.0,4.071
1979,889.11346,2492.6152,470.166,21871.568,73.1622,0.0,0.0,0.0,4.303,1133.3358,1931.9155,56265150.0,44054299.0,12192652.0,4.303
1980,826.48596,2264.3804,468.7704,22179.236,73.593,0.0,0.0,0.0,3.954,969.12396,1865.0836,56326330.0,44195960.0,12118256.0,3.954
1981,821.99677,2194.3872,475.12036,21716.842,73.9187,0.0,0.0,0.0,4.419,897.2701,1910.3818,56395850.0,44271630.0,12062199.0,4.419
1982,766.63794,2146.9849,472.74786,21741.299,74.0411,0.0,0.0,0.0,4.536,907.5991,2210.2908,56450132.0,44228171.0,12085470.0,4.536
1983,773.76715,2139.3247,492.78635,22223.566,74.2947,0.0,0.0,0.0,4.536,872.7711,2507.3875,56501616.0,44215089.0,12117759.0,4.536
1984,549.8198,2126.8342,504.17212,22475.62,74.6767,0.0,0.001010101,0.0,4.536,1072.8423,2707.6355,56568252.0,44257473.0,12164599.0,4.537010101
1985,731.2828,2205.6729,542.22546,22813.941,74.5378,0.0,0.001010101,0.0,3.9542,932.1647,3060.5344,56643040.0,44329755.0,12220513.0,3.955210101
1986,789.77,2275.3154,551.25037,23032.383,74.7958,0.0,0.001010101,0.0,4.7683,934.29486,2955.4282,56721910.0,44404206.0,12277190.0,4.769310101
1987,809.08746,2283.817,566.16,23998.707,75.1476,0.0,0.0,0.0,4.1868,908.5694,2758.2048,56826320.0,44470325.0,12331725.0,4.1868
