,Coal,All_Fossil,Gas,GDP_per_cap,Life_exp,Other_renew,Solar,Wind,Hydro,Oil,Nuclear,Pop,Urban,Rural,All_renew
1965,3224.2441,13797.927,4159.206,22745.727,70.2417,13.332232,,,198.97409,6414.477,57.574333,189703280.0,139663053.0,54639948.0,
1966,3380.8462,14594.848,4482.756,23932.8,70.2045,14.062007,,,199.9369,6731.245,85.9464,191830980.0,142008703.0,54551296.0,
1967,3316.9966,15038.9795,4733.1885,24255.71,70.5187,14.073571,,,227.22081,6988.794,117.99333,193782430.0,144288757.0,54423244.0,
1968,3433.0764,15957.852,5066.815,25147.795,70.2021,15.546045,,,228.15471,7457.961,191.1717,195743420.0,146463196.0,54242804.0,
1969,3447.2375,16733.182,5454.107,25697.338,70.4785,16.22706,,,256.02853,7831.838,210.25276,197859330.0,148629124.0,54047876.0,
1970,3414.6594,17339.508,5748.658,25444.533,70.7353,16.235903,,,253.49237,8176.1914,325.10022,200328340.0,150922373.0,54129628.0,
1971,3229.2007,17617.41,5926.5264,26055.357,71.0957,16.584414,,,272.254,8461.684,560.9089,202907920.0,152865492.0,54795508.0,
1972,3362.425,18469.3,5986.9644,27223.623,71.172,18.67298,,,278.71597,9119.912,787.1945,205238380.0,154531732.0,55364268.0,
1973,3611.4897,19204.703,5937.959,28641.65,71.3883,19.989693,,,278.2127,9655.255,1202.7184,207314770.0,156034954.0,55874050.0,
1974,3525.567,18529.32,5732.247,28130.115,71.9499,20.404264,,,307.28464,9271.507,1626.685,209277970.0,157488501.0,56365500.0,
1975,3525.5413,17836.91,5261.532,27739.982,72.5337,19.754301,,,306.2148,9049.838,2438.761,211274540.0,159070594.0,56902410.0,
1976,3782.042,18878.027,5366.3896,29056.281,72.8339,22.564754,,,289.82245,9729.595,2676.4146,213270030.0,160611122.0,57423880.0,
1977,3876.1572,19404.64,5256.951,30150.48,73.2152,23.536121,,,225.85725,10271.533,3478.285,215437400.0,162256678.0,57982320.0,
1978,3832.5771,19609.375,5275.3843,31586.988,73.397,24.678787,,,286.32852,10501.414,3789.1094,217881440.0,164005080.0,58579920.0,
